customer_id,product,price
18763,Camera,843
48715,Mouse,128
4274,Camera,1122
12050,Desktop,631
41116,Camera,448
43350,Mobile,519
3083,Laptop,750
26118,Camera,1360
19359,Monitor,1488
14624,Laptop,644
36807,Camera,1267
35944,Mobile,259
25578,Tablet,1436
33813,Tablet,170
14502,Monitor,775
23682,Mouse,1394
15366,Mouse,987
34101,Mouse,1222
23571,Tablet,83
32624,Monitor,1295
39622,Mobile,751
44434,Camera,1303
16486,Mouse,103
28589,Mobile,417
38958,Laptop,302
35847,Camera,963
14210,Mobile,740
13196,Tablet,1283
48705,Desktop,132
13241,Laptop,264
2605,Tablet,836
5422,Smartwatch,619
38735,Headphones,904
11332,Camera,266
18678,Mouse,1303
21201,Camera,443
28513,Camera,533
8092,Laptop,382
46166,Desktop,1124
4238,Laptop,115
2119,Headphones,1057
48471,Desktop,816
34697,Tablet,582
41548,Monitor,1043
23235,Keyboard,311
12721,Headphones,510
47099,Desktop,652
32076,Headphones,640
11531,Desktop,536
17115,Monitor,551
17891,Desktop,508
4407,Headphones,254
28729,Smartwatch,113
42500,Desktop,439
4082,Tablet,588
49903,Smartwatch,884
43113,Smartwatch,336
25551,Tablet,684
6226,Headphones,179
34990,Mobile,560
26996,Smartwatch,244
14900,Monitor,574
34460,Camera,799
4667,Keyboard,534
18547,Laptop,1101
43339,Mouse,72
48241,Tablet,905
44282,Keyboard,870
35532,Desktop,283
47545,Keyboard,73
3960,Desktop,833
9931,Smartwatch,1099
47732,Mouse,1312
34423,Desktop,877
7633,Desktop,1258
41160,Laptop,688
26756,Headphones,331
25943,Smartwatch,434
4002,Laptop,676
14480,Smartwatch,222
36874,Smartwatch,182
23324,Keyboard,82
13290,Desktop,679
31256,Camera,1459
43481,Mobile,774
7111,Mobile,1494
2667,Keyboard,762
39112,Headphones,837
15419,Mouse,1373
37784,Keyboard,280
22124,Mouse,1235
48200,Mouse,1351
4677,Desktop,998
45354,Tablet,408
27548,Keyboard,1499
25199,Keyboard,68
10490,Mobile,1076
42835,Mouse,278
10573,Mobile,1307
28931,Keyboard,919
16529,Smartwatch,1066
42591,Headphones,1165
29342,Keyboard,338
13399,Desktop,488
25755,Monitor,294
5590,Mobile,269
9936,Mouse,311
26057,Desktop,257
47385,Keyboard,455
28406,Laptop,521
45299,Mobile,746
19319,Mobile,713
42475,Desktop,637
564,Smartwatch,1283
2443,Monitor,1069
47835,Mouse,929
25761,Headphones,1081
26133,Smartwatch,555
47084,Mouse,1384
44082,Headphones,227
9979,Tablet,1231
25200,Keyboard,804
31479,Camera,378
27698,Camera,543
23549,Mobile,175
49551,Headphones,955
32361,Desktop,1447
41944,Laptop,1026
14384,Smartwatch,463
10322,Keyboard,1181
22728,Mouse,295
2700,Monitor,710
37361,Monitor,211
25852,Mouse,1045
45821,Laptop,197
48364,Camera,1081
16319,Laptop,1497
9889,Desktop,1211
17886,Tablet,1231
36111,Desktop,1056
12828,Tablet,308
45483,Desktop,1391
18049,Mobile,1466
12580,Desktop,1456
21574,Mobile,506
21188,Camera,222
38581,Keyboard,148
696,Keyboard,745
2463,Mouse,676
24021,Camera,184
48290,Headphones,312
26080,Camera,241
32602,Headphones,606
27069,Desktop,253
38874,Laptop,1089
44383,Desktop,878
20104,Tablet,559
44296,Desktop,679
33424,Headphones,1203
24671,Laptop,1486
3970,Smartwatch,1189
20245,Mouse,318
14799,Laptop,440
45905,Headphones,214
24233,Laptop,546
4158,Camera,927
9739,Keyboard,384
31906,Mobile,898
23600,Monitor,479
13552,Laptop,1364
3233,Desktop,964
19790,Mouse,971
43583,Keyboard,110
8714,Camera,414
34712,Tablet,1475
19384,Headphones,325
41293,Smartwatch,933
16573,Desktop,290
23421,Camera,1113
8712,Keyboard,1000
22015,Camera,343
10051,Mobile,1253
6193,Monitor,666
7701,Smartwatch,1177
29587,Tablet,656
10312,Tablet,455
5927,Keyboard,444
49377,Smartwatch,402
19767,Monitor,161
48686,Smartwatch,1131
18927,Desktop,1007
44571,Camera,1408
19926,Camera,770
26525,Headphones,1470
39313,Smartwatch,363
35859,Mobile,99
15404,Mobile,623
23437,Mobile,418
28765,Mobile,206
12261,Laptop,911
6544,Laptop,276
40889,Camera,1064
8885,Keyboard,1363
17462,Monitor,778
15376,Camera,922
33802,Laptop,340
30803,Monitor,661
11390,Laptop,605
29989,Laptop,1393
13395,Camera,76
43656,Monitor,1296
29385,Mobile,729
29738,Mobile,977
47920,Camera,1484
16887,Keyboard,1134
1454,Keyboard,1106
24253,Laptop,185
33876,Smartwatch,1137
34725,Monitor,1164
3668,Smartwatch,920
46856,Smartwatch,594
39969,Smartwatch,1312
17692,Camera,837
39953,Mobile,994
14672,Mobile,1297
36893,Smartwatch,223
19750,Desktop,253
70,Mobile,1087
28484,Keyboard,983
1564,Camera,514
6269,Headphones,497
42570,Camera,1052
41041,Desktop,1488
39025,Keyboard,1087
38228,Smartwatch,419
2538,Headphones,153
21114,Mobile,253
38397,Mobile,963
15530,Laptop,1216
15207,Keyboard,837
47168,Camera,1482
38109,Laptop,1230
44245,Desktop,1411
39384,Keyboard,555
44857,Laptop,393
15588,Monitor,966
28780,Mouse,828
15718,Mobile,401
33837,Headphones,825
44155,Mobile,359
21932,Mobile,176
19980,Keyboard,547
9811,Tablet,1262
45951,Camera,1321
4171,Keyboard,965
4869,Smartwatch,181
17788,Laptop,363
40143,Smartwatch,64
47343,Tablet,931
21874,Mouse,881
28601,Monitor,237
